C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,194,135,149,129,208,66,231,295
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,133,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,70,252,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,70,252,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,70,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,71,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,71,251,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,71,251,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,133,140,133,206,71,251,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,71,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,140,133,206,71,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,134,140,133,206,71,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,134,140,133,206,72,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,134,140,133,206,72,252,308
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,135,140,133,206,72,253,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,135,140,133,206,72,253,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,135,140,133,206,73,253,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,135,140,133,206,73,253,309
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,135,140,133,206,73,253,310
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,73,253,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,74,253,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,74,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,74,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,74,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,74,253,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,133,206,74,253,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,134,206,74,252,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,134,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,134,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,134,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,137,140,134,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,137,140,135,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,137,140,135,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,137,140,135,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,137,140,135,206,74,252,315
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,135,206,74,252,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,135,206,74,252,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,135,206,74,252,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,135,206,74,252,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,182,136,140,135,206,74,253,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,140,135,206,74,253,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,139,135,206,74,254,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,136,139,135,206,74,254,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,137,139,135,207,74,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,137,139,135,207,74,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,137,139,135,207,74,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,137,139,135,207,74,254,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,137,139,135,207,74,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,139,135,207,74,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,139,135,207,74,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,139,135,207,74,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,140,135,207,74,256,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,140,135,207,74,256,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,140,135,207,74,256,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,137,140,134,207,73,256,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,140,134,207,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,140,134,207,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,140,134,208,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,140,134,208,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,140,134,208,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,140,134,208,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,73,255,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,73,254,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,73,254,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,72,254,311
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,72,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,141,134,208,72,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,208,72,254,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,208,72,254,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,208,72,254,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,208,72,254,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,208,72,254,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,208,72,254,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,209,72,254,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,209,72,255,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,134,209,73,255,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,136,142,133,209,73,255,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,142,133,209,72,255,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,142,133,209,72,256,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,136,142,133,209,72,256,314
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,209,72,256,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,209,72,256,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,132,209,72,256,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,132,209,72,256,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,131,210,72,256,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,131,210,72,256,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,131,210,72,255,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,131,210,72,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,135,142,131,210,72,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,188,135,142,131,210,72,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,188,135,142,131,210,72,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,188,135,142,131,210,72,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,188,136,142,131,210,72,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,188,136,142,131,211,72,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,131,211,73,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,131,211,73,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,211,73,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,211,73,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,211,73,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,211,73,256,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,211,73,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,136,142,132,211,73,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,137,142,132,211,73,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,137,142,132,211,73,255,312
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,137,142,132,211,73,255,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,137,142,132,211,73,255,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,187,137,142,132,211,73,255,313
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
